case_id,submitted_at,department,jurisdiction,case_type,description,risk_level
CASE000063,2025-02-01T08:00:00,SupplyChain,KSA,data_request,Customer data request processing guidance.,medium
CASE000064,2025-06-21T02:00:00,Sales,EG,ad_copy,Need response template for complaint.,low
CASE000065,2025-06-25T19:00:00,HR,KSA,label_change,Need response template for complaint.,medium
CASE000066,2025-12-19T16:00:00,IT,EU,ingredient_change,Need approval for a new claim on packaging.,low
CASE000067,2025-11-09T03:00:00,Sales,UAE,complaint_response,Need approval for a new claim on packaging.,high
CASE000068,2025-08-03T15:00:00,IT,EG,ingredient_change,Customer data request processing guidance.,high
CASE000069,2025-07-03T22:00:00,SupplyChain,EU,data_request,Customer data request processing guidance.,high
CASE000070,2025-05-13T16:00:00,HR,KSA,complaint_response,Ad copy includes before/after images.,low
CASE000071,2025-12-13T03:00:00,HR,UAE,data_request,Need approval for a new claim on packaging.,low
CASE000072,2025-01-31T06:00:00,Marketing,KSA,ingredient_change,Customer data request processing guidance.,low
CASE000073,2025-08-22T03:00:00,IT,UAE,data_request,Need response template for complaint.,high
CASE000074,2025-06-06T17:00:00,SupplyChain,EG,ad_copy,Ad copy includes before/after images.,high
CASE000075,2025-08-29T20:00:00,Marketing,EU,complaint_response,Need approval for a new claim on packaging.,medium
CASE000076,2025-05-22T12:00:00,HR,UAE,label_change,Customer data request processing guidance.,high
CASE000077,2025-07-18T08:00:00,Marketing,EG,data_request,Need approval for a new claim on packaging.,low
CASE000078,2025-01-04T19:00:00,Sales,EU,data_request,Ad copy includes before/after images.,medium
CASE000079,2025-07-27T02:00:00,HR,EG,label_change,Ingredient substitution due to supplier shortage.,high
CASE000080,2025-04-01T05:00:00,Sales,EU,data_request,Need approval for a new claim on packaging.,low
CASE000081,2025-10-24T15:00:00,Marketing,UAE,ad_copy,Need approval for a new claim on packaging.,high
CASE000082,2025-08-10T09:00:00,SupplyChain,EG,complaint_response,Need approval for a new claim on packaging.,high
CASE000083,2025-06-28T04:00:00,Marketing,EU,ingredient_change,Need approval for a new claim on packaging.,high
CASE000084,2025-07-30T02:00:00,Sales,KSA,ingredient_change,Customer data request processing guidance.,high
CASE000085,2025-11-01T21:00:00,SupplyChain,KSA,ingredient_change,Ingredient substitution due to supplier shortage.,medium
CASE000086,2025-11-07T14:00:00,Sales,EU,complaint_response,Need response template for complaint.,high
CASE000087,2025-12-13T14:00:00,Sales,EG,ingredient_change,Need approval for a new claim on packaging.,low
CASE000088,2025-03-11T10:00:00,Sales,EG,data_request,Need response template for complaint.,low
CASE000089,2025-08-03T09:00:00,Marketing,KSA,ingredient_change,Customer data request processing guidance.,medium
CASE000090,2025-05-06T19:00:00,Sales,EU,ad_copy,Ingredient substitution due to supplier shortage.,medium
CASE000091,2025-03-04T01:00:00,SupplyChain,UAE,ad_copy,Ad copy includes before/after images.,high
CASE000092,2025-05-21T16:00:00,IT,EU,ad_copy,Ad copy includes before/after images.,high
CASE000093,2025-08-06T01:00:00,SupplyChain,EU,ingredient_change,Ad copy includes before/after images.,medium
CASE000094,2025-12-23T06:00:00,Sales,EG,data_request,Ad copy includes before/after images.,medium
CASE000095,2025-04-04T08:00:00,Marketing,KSA,complaint_response,Ad copy includes before/after images.,low
CASE000096,2025-05-12T05:00:00,IT,EG,label_change,Ingredient substitution due to supplier shortage.,low
CASE000097,2025-01-06T21:00:00,Marketing,UAE,ad_copy,Need approval for a new claim on packaging.,low
CASE000098,2025-12-22T21:00:00,HR,EU,ingredient_change,Ad copy includes before/after images.,low
CASE000099,2025-09-07T17:00:00,Sales,EU,complaint_response,Need approval for a new claim on packaging.,high
CASE000100,2025-06-26T12:00:00,SupplyChain,UAE,ingredient_change,Need response template for complaint.,medium
CASE000101,2025-12-16T16:00:00,SupplyChain,EG,ad_copy,Need approval for a new claim on packaging.,low
CASE000102,2025-01-29T20:00:00,SupplyChain,EU,ingredient_change,Need response template for complaint.,low
CASE000103,2025-02-27T14:00:00,IT,KSA,ad_copy,Need approval for a new claim on packaging.,medium
CASE000104,2025-03-23T15:00:00,Marketing,EG,ad_copy,Need response template for complaint.,high
CASE000105,2025-03-02T12:00:00,Sales,UAE,ad_copy,Need approval for a new claim on packaging.,medium
CASE000106,2025-01-30T06:00:00,Marketing,EU,data_request,Need approval for a new claim on packaging.,low
CASE000107,2025-06-25T17:00:00,SupplyChain,EG,ingredient_change,Ingredient substitution due to supplier shortage.,high
CASE000108,2025-08-31T14:00:00,HR,KSA,label_change,Need response template for complaint.,high
CASE000109,2025-08-28T02:00:00,IT,UAE,complaint_response,Need approval for a new claim on packaging.,low
CASE000110,2025-06-06T06:00:00,HR,KSA,ingredient_change,Ingredient substitution due to supplier shortage.,high
CASE000111,2025-02-22T14:00:00,Sales,EG,label_change,Ingredient substitution due to supplier shortage.,medium
CASE000112,2025-05-03T01:00:00,Sales,EU,label_change,Need response template for complaint.,medium
CASE000113,2025-03-11T02:00:00,Sales,EU,data_request,Need approval for a new claim on packaging.,low
CASE000114,2025-10-27T19:00:00,SupplyChain,KSA,ad_copy,Ingredient substitution due to supplier shortage.,low
CASE000115,2025-05-02T23:00:00,Marketing,EU,complaint_response,Ad copy includes before/after images.,high
CASE000116,2025-07-26T12:00:00,IT,KSA,ad_copy,Ad copy includes before/after images.,high
CASE000117,2025-07-24T21:00:00,Sales,KSA,complaint_response,Ad copy includes before/after images.,high
CASE000118,2025-07-04T17:00:00,IT,EU,ingredient_change,Need approval for a new claim on packaging.,medium
CASE000119,2025-03-01T22:00:00,IT,EU,label_change,Ad copy includes before/after images.,high
CASE000120,2025-03-29T10:00:00,Sales,EG,complaint_response,Customer data request processing guidance.,high
CASE000121,2025-09-15T23:00:00,Sales,EG,data_request,Need response template for complaint.,high
CASE000122,2025-12-25T06:00:00,IT,EU,ingredient_change,Customer data request processing guidance.,low
CASE000123,2025-01-29T20:00:00,IT,UAE,label_change,Customer data request processing guidance.,medium
CASE000124,2025-07-16T08:00:00,SupplyChain,EG,complaint_response,Ad copy includes before/after images.,medium
CASE000125,2025-12-09T14:00:00,Sales,UAE,data_request,Need response template for complaint.,high
CASE000126,2025-06-04T06:00:00,HR,EU,ingredient_change,Ingredient substitution due to supplier shortage.,low
CASE000127,2025-09-08T09:00:00,SupplyChain,KSA,ingredient_change,Customer data request processing guidance.,medium
CASE000128,2025-03-13T13:00:00,Marketing,EG,complaint_response,Ingredient substitution due to supplier shortage.,low
CASE000129,2025-12-04T06:00:00,HR,EU,ad_copy,Ingredient substitution due to supplier shortage.,low
CASE000130,2025-11-29T19:00:00,Marketing,EU,data_request,Need approval for a new claim on packaging.,medium
CASE000131,2025-07-30T22:00:00,IT,UAE,ingredient_change,Need response template for complaint.,medium
CASE000132,2025-07-27T20:00:00,HR,EU,data_request,Need response template for complaint.,high
CASE000133,2025-12-03T09:00:00,Marketing,UAE,data_request,Customer data request processing guidance.,high
CASE000134,2025-01-22T12:00:00,Marketing,KSA,ad_copy,Need approval for a new claim on packaging.,medium
CASE000135,2025-07-29T23:00:00,Marketing,EG,label_change,Need approval for a new claim on packaging.,low
CASE000136,2025-11-12T12:00:00,Sales,EU,label_change,Need approval for a new claim on packaging.,high
CASE000137,2025-05-20T20:00:00,Marketing,UAE,ingredient_change,Need response template for complaint.,high
CASE000138,2025-04-04T11:00:00,HR,EU,ad_copy,Need response template for complaint.,high
CASE000139,2025-04-28T02:00:00,SupplyChain,EG,data_request,Ad copy includes before/after images.,low
CASE000140,2025-11-02T22:00:00,HR,KSA,ingredient_change,Need response template for complaint.,high
CASE000141,2025-06-24T11:00:00,SupplyChain,EU,ingredient_change,Need response template for complaint.,medium
CASE000142,2025-02-19T05:00:00,IT,KSA,label_change,Need approval for a new claim on packaging.,low
CASE000143,2025-05-16T12:00:00,IT,EU,ingredient_change,Ingredient substitution due to supplier shortage.,low
CASE000144,2025-12-21T13:00:00,SupplyChain,KSA,label_change,Customer data request processing guidance.,low
CASE000145,2025-08-15T10:00:00,HR,EU,ingredient_change,Ingredient substitution due to supplier shortage.,medium
CASE000146,2025-02-09T06:00:00,Sales,UAE,label_change,Customer data request processing guidance.,high
CASE000147,2025-03-15T06:00:00,HR,EU,data_request,Ad copy includes before/after images.,medium
CASE000148,2025-02-07T18:00:00,IT,EU,complaint_response,Need response template for complaint.,medium
CASE000149,2025-10-12T12:00:00,Marketing,UAE,label_change,Customer data request processing guidance.,medium
CASE000150,2025-06-10T21:00:00,HR,UAE,data_request,Customer data request processing guidance.,low
CASE000151,2025-07-05T15:00:00,HR,UAE,complaint_response,Customer data request processing guidance.,low
CASE000152,2025-09-25T06:00:00,IT,KSA,ad_copy,Customer data request processing guidance.,low
CASE000153,2025-01-26T09:00:00,Marketing,KSA,complaint_response,Need response template for complaint.,medium
CASE000154,2025-11-19T16:00:00,Sales,KSA,ad_copy,Ingredient substitution due to supplier shortage.,high
CASE000155,2025-01-02T11:00:00,Marketing,EU,data_request,Customer data request processing guidance.,low
CASE000156,2025-11-08T23:00:00,Sales,EU,ingredient_change,Need approval for a new claim on packaging.,low
CASE000157,2025-08-28T07:00:00,IT,UAE,data_request,Customer data request processing guidance.,high
CASE000158,2025-02-07T03:00:00,Marketing,EU,ad_copy,Need response template for complaint.,medium
CASE000159,2025-03-07T11:00:00,IT,EU,label_change,Need approval for a new claim on packaging.,low
CASE000160,2025-03-06T03:00:00,SupplyChain,UAE,data_request,Need response template for complaint.,low
CASE000161,2025-05-17T17:00:00,IT,UAE,ad_copy,Ad copy includes before/after images.,medium
CASE000162,2025-12-07T15:00:00,Marketing,UAE,ingredient_change,Need response template for complaint.,medium
CASE000163,2025-09-06T17:00:00,Marketing,KSA,ad_copy,Need approval for a new claim on packaging.,high
CASE000164,2025-05-10T14:00:00,Sales,EG,data_request,Ingredient substitution due to supplier shortage.,medium
CASE000165,2025-09-09T23:00:00,HR,EG,data_request,Need approval for a new claim on packaging.,low
CASE000166,2025-06-18T17:00:00,SupplyChain,UAE,data_request,Ingredient substitution due to supplier shortage.,medium
CASE000167,2025-07-18T03:00:00,SupplyChain,EG,label_change,Need approval for a new claim on packaging.,medium
CASE000168,2025-04-03T13:00:00,Sales,KSA,complaint_response,Customer data request processing guidance.,low
CASE000169,2025-06-03T23:00:00,SupplyChain,KSA,ad_copy,Need response template for complaint.,high
CASE000170,2025-12-17T06:00:00,HR,EU,ad_copy,Ad copy includes before/after images.,low
CASE000171,2025-01-22T03:00:00,HR,UAE,ad_copy,Ingredient substitution due to supplier shortage.,low
CASE000172,2025-11-27T21:00:00,HR,EU,ad_copy,Ingredient substitution due to supplier shortage.,high
CASE000173,2025-10-28T03:00:00,HR,KSA,label_change,Customer data request processing guidance.,low
CASE000174,2025-09-11T09:00:00,IT,UAE,data_request,Customer data request processing guidance.,medium
CASE000175,2025-08-06T21:00:00,Marketing,KSA,ingredient_change,Need approval for a new claim on packaging.,low
CASE000176,2025-08-23T04:00:00,SupplyChain,EG,ad_copy,Ingredient substitution due to supplier shortage.,low
CASE000177,2025-05-03T07:00:00,Marketing,EU,ad_copy,Need response template for complaint.,high
CASE000178,2025-07-08T02:00:00,Sales,EG,complaint_response,Need approval for a new claim on packaging.,medium
CASE000179,2025-05-19T18:00:00,IT,EG,complaint_response,Customer data request processing guidance.,medium
CASE000180,2025-01-12T12:00:00,IT,EU,data_request,Ingredient substitution due to supplier shortage.,high
CASE000181,2025-11-28T07:00:00,HR,EG,ingredient_change,Ad copy includes before/after images.,high
CASE000182,2025-08-23T05:00:00,Sales,UAE,ingredient_change,Ad copy includes before/after images.,high
CASE000183,2025-07-16T10:00:00,HR,EU,complaint_response,Ingredient substitution due to supplier shortage.,high
CASE000184,2025-03-17T20:00:00,Sales,KSA,ingredient_change,Need response template for complaint.,medium
CASE000185,2025-09-27T19:00:00,IT,EU,label_change,Ingredient substitution due to supplier shortage.,low
CASE000186,2025-08-27T03:00:00,HR,EG,ad_copy,Need response template for complaint.,low
CASE000187,2025-08-19T20:00:00,HR,KSA,complaint_response,Customer data request processing guidance.,low
CASE000188,2025-03-11T11:00:00,Sales,EG,ad_copy,Need response template for complaint.,medium
CASE000189,2025-07-27T10:00:00,Marketing,UAE,complaint_response,Need response template for complaint.,low
CASE000190,2025-11-28T10:00:00,Sales,EG,data_request,Ingredient substitution due to supplier shortage.,low
CASE000191,2025-07-09T15:00:00,Marketing,UAE,label_change,Ingredient substitution due to supplier shortage.,low
CASE000192,2025-05-02T07:00:00,HR,EU,label_change,Ad copy includes before/after images.,medium
CASE000193,2025-01-29T03:00:00,HR,KSA,data_request,Customer data request processing guidance.,high
CASE000194,2025-07-02T21:00:00,SupplyChain,EG,complaint_response,Need approval for a new claim on packaging.,low
CASE000195,2025-02-05T16:00:00,HR,EU,ad_copy,Ingredient substitution due to supplier shortage.,medium
CASE000196,2025-03-01T22:00:00,IT,UAE,complaint_response,Customer data request processing guidance.,low
CASE000197,2025-06-07T07:00:00,IT,KSA,data_request,Customer data request processing guidance.,low
CASE000198,2025-11-24T00:00:00,Marketing,UAE,ad_copy,Ad copy includes before/after images.,low
CASE000199,2025-06-08T02:00:00,Sales,EG,label_change,Ingredient substitution due to supplier shortage.,medium
CASE000200,2025-11-30T14:00:00,Sales,UAE,ad_copy,Ingredient substitution due to supplier shortage.,medium
CASE000201,2025-07-24T04:00:00,Sales,EG,ingredient_change,Customer data request processing guidance.,low
CASE000202,2025-08-15T20:00:00,Marketing,EU,data_request,Ingredient substitution due to supplier shortage.,low
CASE000203,2025-02-07T10:00:00,Sales,EU,ad_copy,Ad copy includes before/after images.,high
CASE000204,2025-01-26T19:00:00,Marketing,EU,data_request,Ad copy includes before/after images.,high
CASE000205,2025-08-26T15:00:00,SupplyChain,UAE,label_change,Ad copy includes before/after images.,low
CASE000206,2025-02-12T15:00:00,SupplyChain,UAE,ad_copy,Ingredient substitution due to supplier shortage.,high
CASE000207,2025-09-02T21:00:00,Marketing,UAE,ad_copy,Ingredient substitution due to supplier shortage.,low
CASE000208,2025-09-16T08:00:00,IT,UAE,data_request,Ad copy includes before/after images.,medium
CASE000209,2025-10-07T06:00:00,SupplyChain,KSA,ad_copy,Need response template for complaint.,low
CASE000210,2025-12-31T06:00:00,SupplyChain,EG,data_request,Need approval for a new claim on packaging.,high
CASE000211,2025-02-25T17:00:00,SupplyChain,UAE,ad_copy,Customer data request processing guidance.,low
CASE000212,2025-07-31T09:00:00,IT,EU,label_change,Need response template for complaint.,low
CASE000213,2025-04-27T18:00:00,HR,EU,ingredient_change,Need approval for a new claim on packaging.,medium
CASE000214,2025-07-17T07:00:00,SupplyChain,EG,data_request,Ingredient substitution due to supplier shortage.,high
CASE000215,2025-10-16T06:00:00,IT,KSA,ad_copy,Customer data request processing guidance.,medium
CASE000216,2025-10-02T08:00:00,IT,EU,data_request,Need response template for complaint.,high
CASE000217,2025-01-04T21:00:00,Sales,UAE,ingredient_change,Customer data request processing guidance.,medium
CASE000218,2025-02-08T05:00:00,Marketing,EG,ingredient_change,Ingredient substitution due to supplier shortage.,low
CASE000219,2025-02-06T21:00:00,Marketing,UAE,ad_copy,Need approval for a new claim on packaging.,low
CASE000220,2025-09-05T07:00:00,Sales,UAE,label_change,Need approval for a new claim on packaging.,medium
CASE000221,2025-10-28T06:00:00,Sales,UAE,ingredient_change,Need approval for a new claim on packaging.,high
CASE000222,2025-05-31T15:00:00,Sales,UAE,complaint_response,Need response template for complaint.,medium
CASE000223,2025-03-22T08:00:00,IT,EG,label_change,Need approval for a new claim on packaging.,low
CASE000224,2025-03-02T02:00:00,Sales,KSA,label_change,Need response template for complaint.,low
CASE000225,2025-03-12T05:00:00,SupplyChain,EU,data_request,Need response template for complaint.,low
CASE000226,2025-04-23T10:00:00,Marketing,EG,label_change,Ad copy includes before/after images.,high
CASE000227,2025-01-04T12:00:00,Sales,KSA,complaint_response,Need response template for complaint.,high
CASE000228,2025-06-04T13:00:00,IT,UAE,data_request,Customer data request processing guidance.,high
CASE000229,2025-01-14T19:00:00,IT,EU,label_change,Need approval for a new claim on packaging.,low
CASE000230,2025-04-02T06:00:00,SupplyChain,EU,data_request,Need response template for complaint.,medium
CASE000231,2025-12-19T06:00:00,Marketing,KSA,ad_copy,Ingredient substitution due to supplier shortage.,medium
CASE000232,2025-10-15T17:00:00,SupplyChain,EG,complaint_response,Need response template for complaint.,medium
CASE000233,2025-01-10T01:00:00,Marketing,KSA,data_request,Need response template for complaint.,medium
CASE000234,2025-09-07T07:00:00,HR,UAE,complaint_response,Ad copy includes before/after images.,low
CASE000235,2025-06-15T17:00:00,SupplyChain,EG,ad_copy,Customer data request processing guidance.,medium
CASE000236,2025-01-24T11:00:00,SupplyChain,KSA,ingredient_change,Ingredient substitution due to supplier shortage.,low
CASE000237,2025-02-12T08:00:00,IT,KSA,ingredient_change,Ad copy includes before/after images.,low
CASE000238,2025-08-08T13:00:00,IT,KSA,data_request,Customer data request processing guidance.,high
CASE000239,2025-01-13T23:00:00,Marketing,EU,ingredient_change,Need response template for complaint.,low
CASE000240,2025-07-11T15:00:00,Sales,KSA,ingredient_change,Ingredient substitution due to supplier shortage.,low
CASE000241,2025-01-15T01:00:00,HR,EU,label_change,Customer data request processing guidance.,high
CASE000242,2025-08-30T12:00:00,SupplyChain,UAE,complaint_response,Ad copy includes before/after images.,high
CASE000243,2025-11-12T03:00:00,SupplyChain,EG,ad_copy,Need response template for complaint.,low
CASE000244,2025-03-27T11:00:00,Marketing,KSA,data_request,Need response template for complaint.,medium
CASE000245,2025-03-13T17:00:00,IT,UAE,label_change,Need approval for a new claim on packaging.,medium
CASE000246,2025-04-17T18:00:00,IT,EU,ad_copy,Ad copy includes before/after images.,low
CASE000247,2025-03-18T10:00:00,SupplyChain,EG,ingredient_change,Ingredient substitution due to supplier shortage.,high
CASE000248,2025-12-28T09:00:00,Sales,UAE,label_change,Need response template for complaint.,low
CASE000249,2025-11-17T16:00:00,IT,UAE,data_request,Need approval for a new claim on packaging.,low
CASE000250,2025-10-05T13:00:00,HR,EU,ad_copy,Customer data request processing guidance.,low
CASE000251,2025-08-31T12:00:00,Sales,EG,ingredient_change,Need response template for complaint.,high
CASE000252,2025-08-19T20:00:00,Marketing,EG,complaint_response,Customer data request processing guidance.,low
CASE000253,2025-07-24T09:00:00,SupplyChain,EG,ad_copy,Need response template for complaint.,medium
CASE000254,2025-08-18T01:00:00,HR,KSA,complaint_response,Customer data request processing guidance.,low
CASE000255,2025-09-30T08:00:00,HR,KSA,ad_copy,Ad copy includes before/after images.,medium
CASE000256,2025-08-06T13:00:00,Marketing,KSA,data_request,Customer data request processing guidance.,medium
CASE000257,2025-04-01T15:00:00,HR,UAE,ad_copy,Customer data request processing guidance.,medium
CASE000258,2025-12-07T11:00:00,Sales,EG,complaint_response,Need response template for complaint.,low
CASE000259,2025-10-20T14:00:00,SupplyChain,EU,complaint_response,Need response template for complaint.,low
CASE000260,2025-05-26T20:00:00,IT,UAE,data_request,Customer data request processing guidance.,medium
CASE000261,2025-08-11T14:00:00,HR,EG,ingredient_change,Ad copy includes before/after images.,medium
CASE000262,2025-06-16T12:00:00,SupplyChain,UAE,complaint_response,Ingredient substitution due to supplier shortage.,high
CASE000263,2025-06-02T23:00:00,Sales,KSA,ad_copy,Need approval for a new claim on packaging.,low
CASE000264,2025-12-07T12:00:00,SupplyChain,EU,ingredient_change,Customer data request processing guidance.,high
CASE000265,2025-12-19T15:00:00,Marketing,EU,ad_copy,Ad copy includes before/after images.,low
CASE000266,2025-02-27T18:00:00,SupplyChain,UAE,complaint_response,Customer data request processing guidance.,medium
CASE000267,2025-05-05T10:00:00,Sales,UAE,ingredient_change,Need approval for a new claim on packaging.,medium
CASE000268,2025-04-28T20:00:00,HR,UAE,data_request,Ingredient substitution due to supplier shortage.,medium
CASE000269,2025-08-13T10:00:00,IT,EU,ingredient_change,Ingredient substitution due to supplier shortage.,medium
CASE000270,2025-03-20T15:00:00,Marketing,KSA,ad_copy,Customer data request processing guidance.,high
CASE000271,2025-04-10T21:00:00,Marketing,EU,complaint_response,Need approval for a new claim on packaging.,high
CASE000272,2025-12-14T01:00:00,Marketing,UAE,ad_copy,Customer data request processing guidance.,high
CASE000273,2025-06-01T15:00:00,HR,KSA,data_request,Need response template for complaint.,low
CASE000274,2025-04-17T14:00:00,SupplyChain,KSA,ad_copy,Ingredient substitution due to supplier shortage.,medium
CASE000275,2025-10-19T23:00:00,IT,KSA,ingredient_change,Ad copy includes before/after images.,high
CASE000276,2025-11-18T23:00:00,HR,UAE,ad_copy,Ad copy includes before/after images.,low
CASE000277,2025-05-19T05:00:00,Sales,EU,complaint_response,Ad copy includes before/after images.,high
CASE000278,2025-08-28T16:00:00,SupplyChain,KSA,ingredient_change,Need approval for a new claim on packaging.,high
CASE000279,2025-11-20T01:00:00,HR,EG,ingredient_change,Need approval for a new claim on packaging.,low
CASE000280,2025-12-26T11:00:00,Sales,EG,complaint_response,Ingredient substitution due to supplier shortage.,medium
CASE000281,2025-09-12T21:00:00,Sales,EU,ad_copy,Need approval for a new claim on packaging.,low
CASE000282,2025-07-31T11:00:00,Sales,EG,complaint_response,Need response template for complaint.,high
CASE000283,2025-08-23T05:00:00,Sales,EG,ingredient_change,Ingredient substitution due to supplier shortage.,low
CASE000284,2025-09-03T12:00:00,IT,EU,data_request,Ingredient substitution due to supplier shortage.,low
CASE000285,2025-12-02T14:00:00,IT,UAE,ingredient_change,Need response template for complaint.,high
CASE000286,2025-09-01T19:00:00,HR,EG,data_request,Need response template for complaint.,low
CASE000287,2025-05-31T20:00:00,Sales,UAE,label_change,Need response template for complaint.,medium
CASE000288,2025-01-28T21:00:00,SupplyChain,UAE,label_change,Customer data request processing guidance.,low
CASE000289,2025-05-09T23:00:00,Sales,EG,ingredient_change,Ad copy includes before/after images.,low
CASE000290,2025-10-14T00:00:00,HR,KSA,complaint_response,Ad copy includes before/after images.,high
